"","Geography","Geographic_Area_Name","Estimate_Total","Estimate_Total_Native_population","Estimate_Total_Native_population_5_to_17_years","Estimate_Total_Native_population_5_to_17_years_Speak_only_English","Estimate_Total_Native_population_5_to_17_years_Speak_Spanish","Estimate_Total_Native_population_5_to_17_years_Speak_Spanish_Speak_English_very_well","Estimate_Total_Native_population_5_to_17_years_Speak_Spanish_Speak_English_less_than_very_well","Estimate_Total_Native_population_5_to_17_years_Speak_other_languages","Estimate_Total_Native_population_5_to_17_years_Speak_other_languages_Speak_English_very_well","Estimate_Total_Native_population_5_to_17_years_Speak_other_languages_Speak_English_less_than_very_well","Estimate_Total_Native_population_18_years_and_over","Estimate_Total_Native_population_18_years_and_over_Speak_only_English","Estimate_Total_Native_population_18_years_and_over_Speak_Spanish","Estimate_Total_Native_population_18_years_and_over_Speak_Spanish_Speak_English_very_well","Estimate_Total_Native_population_18_years_and_over_Speak_Spanish_Speak_English_less_than_very_well","Estimate_Total_Native_population_18_years_and_over_Speak_other_languages","Estimate_Total_Native_population_18_years_and_over_Speak_other_languages_Speak_English_very_well","Estimate_Total_Native_population_18_years_and_over_Speak_other_languages_Speak_English_less_than_very_well","Estimate_Total_Foreign-born_population","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_only_English","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_Spanish","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_Spanish_Speak_English_very_well","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_Spanish_Speak_English_less_than_very_well","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_other_languages","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_other_languages_Speak_English_very_well","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_other_languages_Speak_English_less_than_very_well","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_only_English","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_Spanish","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_Spanish_Speak_English_very_well","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_Spanish_Speak_English_less_than_very_well","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_other_languages","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_other_languages_Speak_English_very_well","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_other_languages_Speak_English_less_than_very_well","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_only_English","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_Spanish","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_Spanish_Speak_English_very_well","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_Spanish_Speak_English_less_than_very_well","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_other_languages","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_other_languages_Speak_English_very_well","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_other_languages_Speak_English_less_than_very_well","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_only_English","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_Spanish","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_Spanish_Speak_English_very_well","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_Spanish_Speak_English_less_than_very_well","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_other_languages","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_other_languages_Speak_English_very_well","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_other_languages_Speak_English_less_than_very_well","NA"
"2","1400000US12001000200","Census Tract 2, Alachua County, Florida","7477","6855","162","162","0","0","0","0","0","0","6693","5973","623","604","19","97","97","0","622","243","0","0","0","0","0","0","0","0","243","74","9","9","0","160","160","0","379","0","0","0","0","0","0","0","0","379","63","65","65","0","251","216","35",NA
"3","1400000US12001000301","Census Tract 3.01, Alachua County, Florida","4271","3958","376","376","0","0","0","0","0","0","3582","3413","116","116","0","53","53","0","313","214","0","0","0","0","0","0","0","0","214","68","32","18","14","114","103","11","99","0","0","0","0","0","0","0","0","99","55","0","0","0","44","0","44",NA
"4","1400000US12001000302","Census Tract 3.02, Alachua County, Florida","2248","2076","306","306","0","0","0","0","0","0","1770","1662","46","32","14","62","62","0","172","129","0","0","0","0","0","0","0","0","129","25","98","41","57","6","0","6","43","0","0","0","0","0","0","0","0","43","0","11","4","7","32","23","9",NA
"5","1400000US12001000400","Census Tract 4, Alachua County, Florida","6147","5606","1851","1828","23","23","0","0","0","0","3755","3477","219","182","37","59","59","0","541","226","0","0","0","0","0","0","0","0","226","77","79","0","79","70","43","27","315","45","45","0","0","0","0","0","0","270","34","12","0","12","224","11","213",NA
"6","1400000US12001000500","Census Tract 5, Alachua County, Florida","4657","4289","286","276","10","10","0","0","0","0","4003","3742","196","196","0","65","36","29","368","77","0","0","0","0","0","0","0","0","77","0","46","46","0","31","31","0","291","0","0","0","0","0","0","0","0","291","111","102","102","0","78","50","28",NA
"7","1400000US12001000600","Census Tract 6, Alachua County, Florida","4383","4323","1272","1266","6","6","0","0","0","0","3051","3037","14","14","0","0","0","0","60","31","0","0","0","0","0","0","0","0","31","0","1","1","0","30","30","0","29","0","0","0","0","0","0","0","0","29","0","0","0","0","29","1","28",NA
"8","1400000US12001000700","Census Tract 7, Alachua County, Florida","6377","5889","810","810","0","0","0","0","0","0","5079","4832","184","116","68","63","0","63","488","137","0","0","0","0","0","0","0","0","137","43","94","0","94","0","0","0","351","0","0","0","0","0","0","0","0","351","191","136","0","136","24","24","0",NA
"9","1400000US12001000806","Census Tract 8.06, Alachua County, Florida","2391","1635","77","63","0","0","0","14","0","14","1558","1452","56","40","16","50","50","0","756","183","0","0","0","0","0","0","0","0","183","68","42","35","7","73","73","0","573","27","0","0","0","0","27","0","27","546","174","21","9","12","351","188","163",NA
"10","1400000US12001000808","Census Tract 8.08, Alachua County, Florida","3228","2673","267","253","14","0","14","0","0","0","2406","2179","150","135","15","77","77","0","555","201","14","14","0","0","0","0","0","0","187","15","46","19","27","126","99","27","354","43","13","16","16","0","14","14","0","311","54","113","22","91","144","89","55",NA
"11","1400000US12001000809","Census Tract 8.09, Alachua County, Florida","1243","1028","47","47","0","0","0","0","0","0","981","909","68","56","12","4","4","0","215","64","0","0","0","0","0","0","0","0","64","33","10","10","0","21","11","10","151","15","8","0","0","0","7","7","0","136","14","27","21","6","95","61","34",NA
"12","1400000US12001000901","Census Tract 9.01, Alachua County, Florida","4329","3606","104","88","0","0","0","16","0","16","3502","2877","382","376","6","243","236","7","723","119","11","0","11","11","0","0","0","0","108","31","26","10","16","51","36","15","604","43","0","0","0","0","43","0","43","561","19","59","59","0","483","238","245",NA
"13","1400000US12001000902","Census Tract 9.02, Alachua County, Florida","6684","6143","53","48","0","0","0","5","5","0","6090","5163","547","525","22","380","375","5","541","237","0","0","0","0","0","0","0","0","237","33","129","120","9","75","64","11","304","4","0","4","4","0","0","0","0","300","19","94","88","6","187","112","75",NA
"14","1400000US12001001000","Census Tract 10, Alachua County, Florida","5587","5397","259","259","0","0","0","0","0","0","5138","4723","356","335","21","59","59","0","190","135","0","0","0","0","0","0","0","0","135","21","33","33","0","81","65","16","55","25","25","0","0","0","0","0","0","30","0","8","8","0","22","22","0",NA
"15","1400000US12001001100","Census Tract 11, Alachua County, Florida","6704","5981","1263","1263","0","0","0","0","0","0","4718","4570","66","50","16","82","82","0","723","533","30","30","0","0","0","0","0","0","503","90","95","95","0","318","258","60","190","0","0","0","0","0","0","0","0","190","29","0","0","0","161","126","35",NA
"16","1400000US12001001201","Census Tract 12.01, Alachua County, Florida","3286","3069","395","336","38","38","0","21","21","0","2674","2628","46","36","10","0","0","0","217","156","16","16","0","0","0","0","0","0","140","71","8","8","0","61","37","24","61","9","0","0","0","0","9","9","0","52","0","0","0","0","52","19","33",NA
"17","1400000US12001001202","Census Tract 12.02, Alachua County, Florida","7341","6860","789","679","10","10","0","100","100","0","6071","5458","537","455","82","76","76","0","481","318","0","0","0","0","0","0","0","0","318","45","104","85","19","169","102","67","163","0","0","0","0","0","0","0","0","163","88","0","0","0","75","75","0",NA
"18","1400000US12001001203","Census Tract 12.03, Alachua County, Florida","3319","3004","253","214","13","13","0","26","26","0","2751","2380","174","153","21","197","155","42","315","168","0","0","0","0","0","0","0","0","168","0","29","29","0","139","70","69","147","0","0","0","0","0","0","0","0","147","67","29","15","14","51","0","51",NA
"19","1400000US12001001400","Census Tract 14, Alachua County, Florida","4386","4291","645","645","0","0","0","0","0","0","3646","3520","97","90","7","29","29","0","95","48","0","0","0","0","0","0","0","0","48","39","9","0","9","0","0","0","47","0","0","0","0","0","0","0","0","47","36","11","11","0","0","0","0",NA
"20","1400000US12001001514","Census Tract 15.14, Alachua County, Florida","1648","1341","46","38","8","0","8","0","0","0","1295","1104","168","140","28","23","23","0","307","209","0","0","0","0","0","0","0","0","209","46","9","5","4","154","143","11","98","0","0","0","0","0","0","0","0","98","17","41","41","0","40","20","20",NA
